RASHUT,ID,SES,PERIPH,JEWISH,YEAR,DIST_FROM_TLV,JEWS_PERCENT,Teachers-skills,immigrant,Special-Education,Matriculation-eligibility,Excellent-matriculation-eligibility,Math,Class-size,Teacher-student-ratio,ALLOCATION_LOG
קרני שומרון,226,6,5,1,2017,26.5,96.5,39.0,2.0,6.0,91.0,10.0,27.0,29.0,10.0,8.225770799348734
קרני שומרון,226,6,5,1,2018,26.5,96.5,39.0,2.0,6.0,75.0,8.0,27.0,29.0,10.0,8.268475388982598
קרני שומרון,226,6,5,1,2019,26.5,96.7,38.0,2.0,6.0,92.0,9.0,29.0,28.0,10.0,8.04012466444838
קרני שומרון,226,6,5,1,2020,26.5,96.9,44.0,2.0,7.0,91.0,6.0,26.0,28.0,10.0,7.857867559331803
ראמה,227,4,4,0,2014,119.8,0.0,24.0,0.0,3.0,74.0,9.0,7.0,27.0,12.0,6.371611847231857
ראמה,227,4,4,0,2015,119.8,0.0,26.0,0.0,3.0,71.0,11.0,9.0,28.0,11.0,6.805722553416985
ראמה,227,4,3,0,2016,119.9,0.0,25.0,0.0,3.0,70.0,8.0,9.0,28.0,10.0,6.472346294500901
ראמה,227,4,3,0,2017,119.9,0.0,28.0,0.0,3.0,66.0,8.0,9.0,28.0,10.0,6.194405391104672
ראמה,227,4,3,0,2018,119.9,0.0,31.0,0.0,3.0,70.0,11.0,13.0,27.0,10.0,6.912742820493176
ראמה,227,4,3,0,2019,119.9,0.0,31.0,0.0,3.0,68.0,10.0,13.0,27.0,10.0,6.762729506931879
ראמה,227,4,3,0,2020,119.9,0.0,36.0,0.0,3.0,72.0,14.0,13.0,28.0,11.0,6.052089168924417
ראש העין,228,6,8,1,2014,10.1,98.9,42.0,1.0,6.0,80.0,9.0,14.0,27.0,11.0,8.150756470275551
ראש העין,228,7,8,1,2015,10.1,98.8,44.0,1.0,5.0,84.0,11.0,16.0,27.0,11.0,8.301769763117166
ראש העין,228,7,7,1,2016,11.5,98.7,49.0,1.0,6.0,84.0,10.0,18.0,27.0,11.0,8.372629740224884
ראש העין,228,7,7,1,2017,11.5,98.3,47.0,1.0,7.0,88.0,16.0,22.0,27.0,11.0,8.493310250952906
ראש העין,228,7,7,1,2018,11.5,98.0,46.0,1.0,7.0,85.0,14.0,25.0,27.0,11.0,8.435549202375727
ראש העין,228,7,7,1,2019,11.5,97.7,46.0,1.0,8.0,89.0,14.0,22.0,27.0,11.0,8.417814747435958
ראש העין,228,7,7,1,2020,11.5,97.2,47.0,1.0,8.0,90.0,15.0,23.0,27.0,12.0,8.39773375137891
ראש פינה,229,7,3,1,2014,135.2,97.3,16.0,1.0,6.0,,,,26.0,8.0,9.447071196798909
ראש פינה,229,7,3,1,2015,135.2,97.0,26.0,0.0,6.0,,,,24.0,9.0,9.280612424961515
ראש פינה,229,7,3,1,2016,133.0,97.0,24.0,0.0,6.0,,,,28.0,10.0,9.191055610564316
ראש פינה,229,7,3,1,2017,133.0,96.6,22.0,0.0,8.0,,,,29.0,10.0,9.348361669873558
ראש פינה,229,7,3,1,2018,133.0,96.4,17.0,1.0,12.0,,,,29.0,10.0,9.23863624113103
ראש פינה,229,7,3,1,2019,133.0,96.0,24.0,1.0,12.0,,,,29.0,9.0,9.355652103136237
ראש פינה,229,7,3,1,2020,133.0,97.2,37.0,2.0,6.0,,,,30.0,12.0,9.353574540062091
ראשון לציון,230,6,9,1,2014,3.7,92.7,40.0,3.0,5.0,78.0,8.0,14.0,30.0,11.0,8.128290171607052
ראשון לציון,230,7,9,1,2015,3.7,92.4,41.0,3.0,5.0,81.0,8.0,14.0,29.0,11.0,8.132118772955806
ראשון לציון,230,7,9,1,2016,3.5,92.1,44.0,3.0,5.0,81.0,9.0,17.0,29.0,11.0,8.173857454773621
ראשון לציון,230,7,9,1,2017,3.5,91.8,45.0,3.0,5.0,85.0,10.0,25.0,28.0,11.0,8.222285073872717
ראשון לציון,230,7,9,1,2018,3.5,91.4,46.0,2.0,5.0,87.0,10.0,23.0,28.0,11.0,8.323851131338817
ראשון לציון,230,7,9,1,2019,3.5,91.0,49.0,2.0,6.0,87.0,10.0,25.0,28.0,11.0,8.343315881404946
ראשון לציון,230,7,9,1,2020,3.5,90.9,49.0,3.0,6.0,89.0,14.0,25.0,28.0,11.0,8.331586243630754
רהט,231,2,5,0,2014,74.8,0.0,17.0,0.0,3.0,42.0,0.0,1.0,29.0,13.0,2.995732273553991
רהט,231,1,5,0,2015,74.8,0.0,19.0,0.0,4.0,45.0,0.0,0.0,29.0,13.0,0.0
רהט,231,1,4,0,2016,74.9,0.0,20.0,0.0,4.0,48.0,1.0,2.0,28.0,12.0,0.0
רהט,231,1,4,0,2017,74.9,0.0,20.0,0.0,4.0,58.0,1.0,4.0,28.0,11.0,3.6888794541139363
רהט,231,1,4,0,2018,74.9,0.0,23.0,0.0,5.0,59.0,1.0,4.0,28.0,11.0,2.6390573296152584
רהט,231,1,4,0,2019,74.9,0.0,28.0,0.0,5.0,59.0,1.0,3.0,27.0,11.0,0.0
רהט,231,1,4,0,2020,74.9,0.0,31.0,0.0,5.0,63.0,2.0,4.0,27.0,11.0,4.727387818712341
רחובות,232,6,8,1,2014,11.2,94.7,42.0,1.0,4.0,76.0,7.0,12.0,29.0,11.0,8.09376775793108
רחובות,232,7,8,1,2015,11.2,94.6,43.0,1.0,4.0,76.0,9.0,15.0,30.0,12.0,8.151909872940905
רחובות,232,7,8,1,2016,13.0,94.5,43.0,1.0,5.0,81.0,10.0,18.0,29.0,11.0,8.14060704285845
רחובות,232,7,8,1,2017,13.0,94.5,42.0,1.0,5.0,83.0,10.0,19.0,28.0,12.0,8.15908865466791
רחובות,232,7,8,1,2018,13.0,94.4,44.0,1.0,6.0,84.0,12.0,23.0,28.0,11.0,8.17131687471973
רחובות,232,7,8,1,2019,13.0,94.2,44.0,1.0,6.0,87.0,13.0,24.0,28.0,11.0,8.251663923605589
רחובות,232,7,8,1,2020,13.0,94.4,46.0,1.0,6.0,88.0,15.0,24.0,28.0,12.0,7.9865049385539955
ריינה,233,3,5,0,2014,89.6,0.0,25.0,0.0,2.0,61.0,8.0,12.0,29.0,14.0,6.118097198041348
ריינה,233,3,5,0,2015,89.6,0.0,27.0,0.0,2.0,70.0,7.0,11.0,28.0,13.0,6.0063531596017325
ריינה,233,3,5,0,2016,87.6,0.0,29.0,0.0,2.0,68.0,7.0,11.0,29.0,13.0,6.942156705699469
ריינה,233,2,5,0,2017,87.6,0.0,30.0,0.0,2.0,63.0,9.0,12.0,28.0,12.0,6.880384082186005
ריינה,233,2,5,0,2018,87.6,0.0,34.0,0.0,2.0,59.0,6.0,10.0,28.0,12.0,7.2196420401307355
ריינה,233,3,5,0,2019,87.6,0.0,39.0,0.0,2.0,65.0,7.0,10.0,27.0,11.0,7.002155954403621
ריינה,233,3,5,0,2020,87.6,0.0,45.0,0.0,2.0,68.0,8.0,13.0,27.0,11.0,6.754604099487962
רכסים,234,2,5,1,2014,78.9,99.8,6.0,1.0,5.0,6.0,0.0,0.0,23.0,25.0,6.799055862058796
רכסים,234,2,5,1,2015,78.9,99.8,6.0,1.0,6.0,12.0,0.0,0.0,24.0,26.0,6.842683282238422
רכסים,234,2,5,1,2016,80.0,99.9,6.0,1.0,6.0,15.0,1.0,0.0,24.0,25.0,7.074116816197362
רכסים,234,2,5,1,2017,80.0,99.9,8.0,1.0,5.0,20.0,0.0,0.0,25.0,25.0,6.839476438228843
רכסים,234,2,5,1,2018,80.0,99.9,15.0,1.0,5.0,15.0,0.0,0.0,26.0,22.0,6.398594934535208
רכסים,234,2,5,1,2019,80.0,99.9,14.0,1.0,6.0,22.0,0.0,0.0,26.0,23.0,6.752270376141742
רכסים,234,2,5,1,2020,80.0,99.8,14.0,1.0,6.0,25.0,0.0,0.0,26.0,21.0,6.529418838262226
רמלה,235,4,8,1,2014,10.3,72.7,26.0,4.0,7.0,66.0,2.0,3.0,27.0,11.0,7.829232537543592
רמלה,235,4,8,1,2015,10.3,72.5,28.0,3.0,6.0,63.0,2.0,3.0,27.0,10.0,7.8407064517494
רמלה,235,4,8,1,2016,11.0,72.3,28.0,3.0,7.0,64.0,2.0,3.0,27.0,11.0,7.848933726364071
רמלה,235,4,8,1,2017,11.0,71.9,32.0,3.0,7.0,68.0,4.0,5.0,27.0,10.0,7.97522083865341
רמלה,235,4,8,1,2018,11.0,71.5,33.0,2.0,6.0,69.0,5.0,5.0,26.0,10.0,8.106514516255185
רמלה,235,4,8,1,2019,11.0,71.0,36.0,2.0,7.0,68.0,2.0,5.0,26.0,10.0,8.190077049719049
רמלה,235,4,8,1,2020,11.0,93.3,37.0,2.0,7.0,75.0,5.0,6.0,27.0,10.0,8.07246736935477
רמת גן,236,7,10,1,2014,0.0,94.7,38.0,1.0,3.0,89.0,14.0,19.0,28.0,12.0,8.69433468816865
רמת גן,236,8,10,1,2015,0.0,94.5,40.0,1.0,3.0,91.0,15.0,19.0,28.0,12.0,8.76795190976342
רמת גן,236,8,10,1,2016,0.0,94.3,41.0,1.0,3.0,91.0,17.0,22.0,28.0,11.0,8.88391747120797
רמת גן,236,8,10,1,2017,0.0,94.0,42.0,1.0,3.0,92.0,20.0,29.0,28.0,11.0,8.903815211722922
רמת גן,236,8,10,1,2018,0.0,93.6,43.0,1.0,4.0,91.0,19.0,35.0,28.0,11.0,8.916103530553727
רמת גן,236,8,10,1,2019,0.0,93.2,48.0,1.0,5.0,93.0,20.0,31.0,28.0,11.0,8.860782895806315
רמת גן,236,8,10,1,2020,0.0,93.4,48.0,2.0,5.0,95.0,20.0,30.0,28.0,11.0,8.774467601446593
רמת השרון,237,9,8,1,2014,0.0,98.8,40.0,2.0,2.0,92.0,16.0,25.0,29.0,10.0,8.48301573961465
רמת השרון,237,9,8,1,2015,0.0,98.8,41.0,3.0,2.0,93.0,19.0,26.0,29.0,11.0,8.499029220788566
רמת השרון,237,9,8,1,2016,0.0,98.6,44.0,4.0,2.0,95.0,25.0,29.0,30.0,11.0,8.501063809486354
רמת השרון,237,9,8,1,2017,0.0,98.5,44.0,4.0,2.0,92.0,33.0,42.0,30.0,11.0,8.61104776688786
רמת השרון,237,9,8,1,2018,0.0,98.4,44.0,4.0,2.0,95.0,35.0,41.0,30.0,11.0,8.700181192753353
רמת השרון,237,9,8,1,2019,0.0,98.3,46.0,4.0,2.0,94.0,37.0,42.0,29.0,11.0,8.6328406149422
רמת השרון,237,9,8,1,2020,0.0,98.3,49.0,4.0,3.0,95.0,40.0,42.0,28.0,11.0,8.57376254290413
רמת ישי,238,8,5,1,2014,76.9,98.7,24.0,0.0,1.0,,,,34.0,13.0,7.972121128921655
רמת ישי,238,8,5,1,2015,76.9,98.6,26.0,0.0,1.0,,,,33.0,13.0,7.918992488165245
רמת ישי,238,8,5,1,2016,77.3,98.5,29.0,0.0,0.0,,,,32.0,13.0,8.009695357742922
רמת ישי,238,8,5,1,2017,77.3,98.4,41.0,0.0,1.0,,,,32.0,13.0,8.19118600464279
רמת ישי,238,8,5,1,2018,77.3,98.1,39.0,0.0,1.0,,,,32.0,13.0,8.20903626577507
רמת ישי,238,9,5,1,2019,77.3,97.7,42.0,0.0,1.0,,,,30.0,13.0,8.340456012916183
רמת ישי,238,9,5,1,2020,77.3,97.2,39.0,0.0,0.0,,,,29.0,14.0,8.0519780789023
רמת נגב,239,5,3,1,2014,121.8,89.4,39.0,5.0,3.0,86.0,4.0,10.0,28.0,9.0,8.94663520890585
רמת נגב,239,6,3,1,2015,121.8,98.2,43.0,2.0,3.0,92.0,4.0,15.0,29.0,11.0,8.851949671253948
רמת נגב,239,6,2,1,2016,,98.3,38.0,2.0,2.0,99.0,6.0,14.0,28.0,10.0,8.544224530467268
רמת נגב,239,6,2,1,2017,,98.3,41.0,2.0,2.0,80.0,7.0,26.0,27.0,11.0,8.371010681238156
רמת נגב,239,6,2,1,2018,,98.0,44.0,2.0,2.0,90.0,1.0,23.0,24.0,10.0,8.534836626588833
רמת נגב,239,6,2,1,2019,,87.3,45.0,2.0,2.0,69.0,5.0,9.0,25.0,10.0,8.528528701079983
רמת נגב,239,6,2,1,2020,,93.5,44.0,3.0,2.0,86.0,4.0,10.0,25.0,9.0,8.369620826949102
רעננה,240,8,8,1,2014,2.4,97.9,43.0,10.0,6.0,85.0,14.0,19.0,29.0,10.0,8.537191877922927
רעננה,240,8,8,1,2015,2.4,97.8,43.0,11.0,5.0,86.0,16.0,24.0,29.0,10.0,8.490849216076635
רעננה,240,8,8,1,2016,2.3,97.7,44.0,12.0,5.0,84.0,17.0,26.0,29.0,10.0,8.495152060539358
רעננה,240,8,8,1,2017,2.3,97.5,44.0,13.0,6.0,87.0,15.0,30.0,29.0,10.0,8.60337088765729
רעננה,240,8,8,1,2018,2.3,97.4,46.0,13.0,6.0,85.0,20.0,33.0,28.0,10.0,8.669055540725484
רעננה,240,8,8,1,2019,2.3,97.0,47.0,12.0,6.0,89.0,20.0,36.0,28.0,10.0,8.706324840138741
רעננה,240,8,8,1,2020,2.3,97.1,48.0,13.0,7.0,89.0,26.0,36.0,28.0,10.0,8.659039915644474
שבלי - אום אל-גנם,241,2,4,0,2014,90.3,0.0,27.0,0.0,3.0,52.0,6.0,8.0,26.0,11.0,6.9726062513017535
שבלי - אום אל-גנם,241,3,4,0,2015,90.3,0.0,30.0,0.0,3.0,69.0,3.0,8.0,26.0,11.0,7.079184394609668
שבלי - אום אל-גנם,241,3,4,0,2016,89.6,0.0,30.0,0.0,3.0,73.0,2.0,13.0,26.0,11.0,7.322510433997394
שבלי - אום אל-גנם,241,3,4,0,2017,89.6,0.0,34.0,0.0,3.0,59.0,2.0,4.0,26.0,11.0,7.333023014386481
שבלי - אום אל-גנם,241,3,4,0,2018,89.6,0.0,42.0,0.0,4.0,55.0,1.0,14.0,25.0,11.0,7.400620577371135
שבלי - אום אל-גנם,241,3,4,0,2019,89.6,0.0,44.0,0.0,4.0,61.0,3.0,10.0,25.0,10.0,0.0
שבלי - אום אל-גנם,241,3,4,1,2020,89.6,0.0,53.0,0.0,4.0,62.0,4.0,10.0,26.0,10.0,7.145196134997171
שגב-שלום,242,2,4,0,2014,100.2,0.0,16.0,0.0,6.0,49.0,0.0,1.0,29.0,13.0,0.0
שגב-שלום,242,1,4,0,2015,100.2,0.0,18.0,0.0,8.0,40.0,1.0,1.0,28.0,13.0,4.1588830833596715
שגב-שלום,242,1,3,0,2016,98.9,0.0,22.0,0.0,6.0,48.0,1.0,5.0,28.0,12.0,3.7376696182833684
שגב-שלום,242,1,3,0,2017,98.9,0.0,21.0,0.0,6.0,65.0,1.0,9.0,27.0,12.0,5.262690188904886
שגב-שלום,242,1,3,0,2018,98.9,0.0,25.0,0.0,6.0,51.0,2.0,5.0,27.0,12.0,3.9889840465642745
שגב-שלום,242,1,3,0,2019,98.9,0.0,37.0,1.0,4.0,84.0,22.0,22.0,27.0,11.0,0.0
שגב-שלום,242,1,3,0,2020,98.9,0.0,38.0,1.0,4.0,86.0,24.0,19.0,26.0,11.0,3.091042453358316
שדות נגב,243,5,5,1,2014,70.4,99.9,31.0,3.0,2.0,72.0,1.0,1.0,26.0,9.0,8.21716859576607
שדות נגב,243,5,5,1,2015,70.4,99.9,33.0,2.0,2.0,77.0,4.0,8.0,26.0,9.0,8.128290171607052
שדות נגב,243,5,4,1,2016,,99.8,40.0,2.0,2.0,61.0,4.0,10.0,25.0,9.0,8.226038429485484
שדות נגב,243,5,4,1,2017,,99.9,44.0,1.0,2.0,72.0,5.0,15.0,24.0,9.0,8.32263709695394
שדות נגב,243,5,4,1,2018,,99.8,40.0,1.0,2.0,88.0,6.0,17.0,25.0,8.0,8.313607139317558
שדות נגב,243,5,4,1,2019,,99.8,43.0,1.0,2.0,73.0,3.0,13.0,25.0,8.0,8.374015421739909
שדות נגב,243,5,4,1,2020,,99.8,45.0,2.0,2.0,89.0,11.0,24.0,25.0,8.0,8.025189321890835
שדרות,244,4,5,1,2014,60.1,93.9,29.0,4.0,6.0,83.0,0.0,4.0,25.0,9.0,8.246171559857563
שדרות,244,4,5,1,2015,60.1,93.9,33.0,2.0,3.0,83.0,0.0,5.0,24.0,9.0,8.282230063296685
שדרות,244,4,4,1,2016,60.7,93.9,34.0,2.0,4.0,84.0,1.0,14.0,23.0,9.0,8.388677769180811
שדרות,244,5,4,1,2017,60.7,93.7,36.0,2.0,4.0,84.0,1.0,7.0,24.0,9.0,8.571491964823617
שדרות,244,5,4,1,2018,60.7,93.6,37.0,2.0,5.0,86.0,2.0,10.0,24.0,9.0,8.357493812658563
שדרות,244,4,4,1,2019,60.7,93.6,38.0,2.0,5.0,87.0,4.0,13.0,25.0,9.0,8.319473692442186
שדרות,244,4,4,1,2020,60.7,94.0,41.0,2.0,4.0,90.0,2.0,12.0,25.0,9.0,8.144679183447758
שוהם,245,8,7,1,2014,12.4,99.4,37.0,1.0,2.0,89.0,12.0,23.0,29.0,11.0,7.732807530422021
שוהם,245,9,7,1,2015,12.4,99.4,38.0,1.0,3.0,92.0,12.0,23.0,28.0,11.0,7.79770203551669
שוהם,245,9,7,1,2016,12.3,99.3,42.0,1.0,3.0,93.0,16.0,25.0,28.0,12.0,7.898039690764619
שוהם,245,9,7,1,2017,12.3,99.3,45.0,1.0,3.0,91.0,5.0,29.0,28.0,11.0,8.018954683155718
שוהם,245,9,7,1,2018,12.3,99.2,46.0,1.0,3.0,95.0,9.0,31.0,27.0,11.0,8.156510226079966
שוהם,245,9,7,1,2019,12.3,99.2,51.0,1.0,3.0,94.0,20.0,30.0,26.0,11.0,8.212025804623437
שוהם,245,9,7,1,2020,12.3,99.1,51.0,1.0,4.0,94.0,24.0,30.0,26.0,11.0,8.19118600464279
שומרון,246,5,5,1,2014,60.3,97.2,27.0,1.0,7.0,75.0,2.0,3.0,26.0,9.0,8.322151070212902
שומרון,246,5,5,1,2015,60.3,97.3,30.0,1.0,6.0,75.0,5.0,8.0,27.0,10.0,8.375860015299594
שומרון,246,5,5,1,2016,,97.4,31.0,1.0,6.0,77.0,1.0,4.0,27.0,11.0,8.105911197986508
שומרון,246,6,5,1,2017,,97.3,31.0,1.0,6.0,82.0,7.0,11.0,28.0,11.0,7.931644021454311
שומרון,246,6,5,1,2018,,97.2,34.0,1.0,5.0,82.0,7.0,11.0,27.0,11.0,8.140898460607852
שומרון,246,6,5,1,2019,,97.3,37.0,1.0,6.0,80.0,9.0,9.0,27.0,11.0,8.190908881182514
שומרון,246,6,5,1,2020,,97.4,38.0,1.0,6.0,90.0,19.0,20.0,27.0,11.0,7.870547844507712
שלומי,247,5,4,1,2014,120.9,92.4,30.0,1.0,4.0,46.0,0.0,0.0,26.0,9.0,7.967973179662935
שלומי,247,5,4,1,2015,120.9,92.2,34.0,1.0,5.0,68.0,3.0,8.0,27.0,9.0,7.69484807238461
שלומי,247,5,3,1,2016,117.1,92.2,37.0,1.0,7.0,71.0,0.0,6.0,24.0,8.0,8.018954683155718
שלומי,247,6,3,1,2017,117.1,91.8,36.0,1.0,7.0,71.0,0.0,0.0,30.0,8.0,8.37378460812088
שלומי,247,6,3,1,2018,117.1,91.3,36.0,0.0,10.0,81.0,11.0,22.0,28.0,8.0,8.465478755729558
שלומי,247,5,3,1,2019,117.1,91.3,42.0,1.0,9.0,71.0,3.0,6.0,28.0,9.0,8.464003362902119
שלומי,247,5,3,1,2020,117.1,92.1,44.0,1.0,8.0,79.0,13.0,18.0,28.0,9.0,8.518392471991719
שעב,248,2,4,0,2014,104.6,0.0,26.0,0.0,5.0,73.0,6.0,8.0,25.0,11.0,6.943122422819428
שעב,248,2,4,0,2015,104.6,0.0,26.0,0.0,4.0,85.0,9.0,10.0,26.0,11.0,6.665683717782408
שעב,248,2,3,0,2016,104.7,0.0,29.0,0.0,3.0,68.0,6.0,11.0,25.0,11.0,7.004881989712859
שעב,248,2,3,0,2017,104.7,0.0,29.0,0.0,4.0,60.0,1.0,11.0,25.0,10.0,6.851184927493743
שעב,248,2,3,0,2018,104.7,0.0,36.0,0.0,5.0,50.0,3.0,7.0,24.0,10.0,7.039660349862076
שעב,248,2,3,0,2019,104.7,0.0,42.0,0.0,4.0,57.0,2.0,12.0,24.0,10.0,7.293697720601438
שעב,248,2,3,0,2020,104.7,0.0,46.0,0.0,3.0,87.0,5.0,9.0,25.0,10.0,6.762729506931879
שער הנגב,249,6,5,1,2014,60.7,97.1,31.0,0.0,6.0,82.0,1.0,10.0,31.0,10.0,7.734121303328305
שער הנגב,249,7,5,1,2015,60.7,97.4,30.0,0.0,6.0,79.0,6.0,15.0,31.0,10.0,7.771067086065406
שער הנגב,249,7,4,1,2016,,97.3,30.0,0.0,6.0,81.0,5.0,17.0,31.0,10.0,7.7501841622578365
שער הנגב,249,7,4,1,2017,,94.6,35.0,1.0,5.0,74.0,1.0,17.0,30.0,10.0,7.922623574217286
שער הנגב,249,7,4,1,2018,,94.0,33.0,1.0,7.0,67.0,8.0,20.0,30.0,11.0,7.925518979786926
שער הנגב,249,7,4,1,2019,,92.4,36.0,1.0,6.0,69.0,7.0,18.0,30.0,10.0,7.851661177889265
שער הנגב,249,7,4,1,2020,,91.7,38.0,0.0,6.0,73.0,10.0,14.0,30.0,11.0,7.897296472595885
שפיר,250,5,6,1,2014,39.3,99.8,34.0,4.0,4.0,79.0,5.0,1.0,25.0,11.0,8.133293861222633
שפיר,250,4,6,1,2015,39.3,99.9,31.0,4.0,5.0,92.0,5.0,6.0,26.0,11.0,8.029432840581244
שפיר,250,4,5,1,2016,,99.8,34.0,3.0,5.0,90.0,9.0,8.0,26.0,12.0,7.924072324923417
שפיר,250,4,5,1,2017,,99.8,35.0,3.0,5.0,95.0,9.0,12.0,26.0,11.0,8.06054004653864
שפיר,250,4,5,1,2018,,99.7,36.0,2.0,5.0,96.0,6.0,14.0,25.0,11.0,7.922261058353247
שפיר,250,5,5,1,2019,,99.7,40.0,2.0,5.0,94.0,7.0,14.0,26.0,12.0,8.083328608786376
שפיר,250,5,5,1,2020,,99.7,42.0,3.0,5.0,99.0,17.0,23.0,26.0,12.0,7.77863014732581
שפרעם,251,3,5,0,2014,90.5,0.0,28.0,0.0,3.0,50.0,4.0,3.0,27.0,12.0,6.633318433280377
שפרעם,251,3,5,0,2015,90.5,0.0,30.0,0.0,3.0,49.0,4.0,6.0,27.0,12.0,6.694562058521095
שפרעם,251,3,5,0,2016,90.9,0.0,33.0,0.0,3.0,43.0,2.0,7.0,27.0,12.0,6.910750787961936
שפרעם,251,3,5,0,2017,90.9,0.0,34.0,0.0,3.0,50.0,4.0,8.0,27.0,11.0,6.953684210870537
שפרעם,251,3,5,0,2018,90.9,0.0,39.0,0.0,3.0,55.0,4.0,9.0,26.0,11.0,7.086737934510577
שפרעם,251,3,5,0,2019,90.9,0.0,42.0,0.0,3.0,57.0,5.0,7.0,26.0,11.0,6.919683849847411
שפרעם,251,3,5,0,2020,90.9,0.0,45.0,0.0,3.0,65.0,6.0,9.0,27.0,11.0,6.484635235635252
תל אביב -יפו,252,8,10,1,2014,0.0,91.1,34.0,3.0,7.0,78.0,8.0,11.0,28.0,10.0,8.679992081721329
תל אביב -יפו,252,8,10,1,2015,0.0,90.8,35.0,3.0,7.0,76.0,10.0,13.0,28.0,10.0,8.701845363548474
תל אביב -יפו,252,8,10,1,2016,0.0,90.6,36.0,3.0,7.0,78.0,11.0,15.0,27.0,10.0,8.768729817231666
תל אביב -יפו,252,8,10,1,2017,0.0,90.4,38.0,3.0,7.0,78.0,9.0,19.0,27.0,10.0,8.86403999703599
תל אביב -יפו,252,8,10,1,2018,0.0,90.2,40.0,3.0,7.0,78.0,7.0,21.0,27.0,10.0,8.918784137975802
תל אביב -יפו,252,8,10,1,2019,0.0,89.9,42.0,3.0,8.0,80.0,9.0,22.0,27.0,10.0,8.943767262734637
תל אביב -יפו,252,8,10,1,2020,0.0,94.3,42.0,7.0,8.0,82.0,8.0,19.0,27.0,10.0,8.826441041782578
תל מונד,253,9,7,1,2014,14.8,99.0,40.0,1.0,3.0,94.0,10.0,16.0,29.0,12.0,7.3914152346753585
תל מונד,253,8,7,1,2015,14.8,99.0,42.0,1.0,3.0,93.0,13.0,17.0,29.0,12.0,7.377133712833954
תל מונד,253,8,6,1,2016,15.3,98.9,43.0,1.0,3.0,96.0,17.0,23.0,29.0,12.0,7.4205789054108005
תל מונד,253,8,6,1,2017,15.3,98.8,45.0,2.0,5.0,95.0,25.0,37.0,28.0,12.0,7.77863014732581
תל מונד,253,8,6,1,2018,15.3,98.7,44.0,2.0,4.0,96.0,25.0,31.0,28.0,12.0,8.02322468471667
תל מונד,253,9,6,1,2019,15.3,98.7,46.0,2.0,3.0,93.0,26.0,39.0,28.0,11.0,7.846198815497425
תל מונד,253,9,6,1,2020,15.3,98.8,47.0,2.0,4.0,94.0,37.0,39.0,28.0,12.0,7.551186867296149
תל שבע,254,1,4,0,2014,95.2,0.0,14.0,0.0,5.0,50.0,2.0,1.0,28.0,12.0,5.950642552587727
תל שבע,254,1,4,0,2015,95.2,0.0,14.0,0.0,6.0,51.0,1.0,1.0,28.0,12.0,6.349138991379798
תל שבע,254,1,3,0,2016,94.1,0.0,14.0,0.0,4.0,39.0,0.0,1.0,28.0,11.0,6.933423025730715
תל שבע,254,1,3,0,2017,94.1,0.0,15.0,0.0,5.0,42.0,1.0,1.0,27.0,11.0,6.639875833826536
תל שבע,254,1,3,0,2018,94.1,0.0,17.0,0.0,6.0,45.0,0.0,3.0,26.0,10.0,6.440946540632921
תל שבע,254,1,3,0,2019,94.1,0.0,23.0,0.0,6.0,42.0,1.0,1.0,26.0,10.0,6.80903930604298
תל שבע,254,1,3,0,2020,94.1,0.0,26.0,0.0,6.0,55.0,1.0,1.0,26.0,10.0,6.240275845170769
תמר,255,5,3,1,2014,148.0,91.0,48.0,2.0,10.0,73.0,0.0,0.0,14.0,6.0,10.634989686972537
תמר,255,6,3,1,2015,148.0,91.0,45.0,4.0,10.0,90.0,3.0,10.0,16.0,5.0,10.5653762371933
תמר,255,6,2,1,2016,,91.1,42.0,4.0,11.0,95.0,5.0,0.0,16.0,5.0,10.751199612844985
תמר,255,6,2,1,2017,,91.1,38.0,4.0,9.0,84.0,5.0,18.0,15.0,5.0,10.756433716893001
תמר,255,6,2,1,2018,,90.1,46.0,1.0,10.0,89.0,7.0,19.0,18.0,5.0,10.780954292552702
תמר,255,7,2,1,2019,,90.2,42.0,1.0,9.0,84.0,8.0,16.0,19.0,5.0,10.89256395413593
תמר,255,7,2,1,2020,,93.0,55.0,1.0,7.0,71.0,7.0,7.0,19.0,4.0,10.69670628682029
